basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag,neg_basin_flag
01078000,0.004984973625852713,-13.77111474692468,0.06340705879367196,0.0003670616409038785,0.019158852807615555,0.017619249035922505,-2.7099801978754603,0.22545648678008617,True,True
01170100,0.0073746416531355165,-7.044198286169689,0.11056811984420903,0.00043748645489648496,0.020916176870940946,0.017990558618874716,-0.6054029166004233,0.42628969340747386,True,True
01195100,0.009691993439698808,-15.439896158647759,0.05733979095421043,0.0015442773192600129,0.039297294045010436,0.03843958583044639,-58.58118129188865,0.4875069355532865,True,True
02014000,0.004141553396481093,-46.481589442819484,0.02062638645912027,0.0008144262790263187,0.02853815479364983,0.027834166415134753,-13.009340915588435,0.3764072009110753,True,True
02374500,0.006482397681806576,-38.26460328598143,0.024835709739829005,0.0016499567301103285,0.04061965940416449,0.03984465064218276,-2.86668454222311,0.4285960674897504,True,True
04063700,0.006272409328713661,-43.896212516643054,0.02178829025679137,0.0017663570221257275,0.042028050420233956,0.04160090216069225,-8.766866290640323,0.34064154033657307,True,True
06280300,0.0037125440810362093,-297.05274562122463,0.003343891720247183,0.0041080560910136885,0.06409411900489535,0.06343301985628291,-37.71434702409612,0.15230542234385805,True,True
06339500,0.009292393223263444,-27.271776105228177,0.03416260073885274,0.0024412274893811673,0.04940877947674044,0.04851725076150235,-62.34589754342789,0.19399923329971175,True,True
07184000,0.00034239513203574974,-12288.860377631185,8.136126920943266e-05,0.0014407947324211311,0.03795780199670591,0.036446813885234186,-5118.378833564382,0.25301568385686013,True,True
07292500,0.003339854037426359,-1122.4605445306358,0.0008893153297943529,0.012531781066775714,0.11194543790068318,0.03849931991765174,-38.569045148837795,0.051775358437622813,True,True
08380500,0.0016370658380737775,-437.2094981185617,0.0022768177926107977,0.0011743946882091462,0.03426944248465601,0.03397612449719586,-4034.7652827176626,0.022349791033051795,True,True
10242000,0.005706232876400874,-5.303969542520643,0.1369118524082583,0.00020526414257594614,0.014327042352696042,0.011924656583270524,-14.09212934473566,0.09237635912791585,True,True
10259200,0.0018813203329935174,-235.16007213759414,0.004216561375558301,0.0008358569760116378,0.028911191189773516,0.024179246417395547,-1787.4616772278396,0.4171773653676048,True,True
11151300,0.0005818957095809165,-1547.0605989623248,0.0006455525372408761,0.0005241773698180143,0.02289492017496489,0.02261871770542373,-4025.2469708913045,0.10291985622337425,True,True
11274500,0.008167022148338855,-15.161137477161901,0.05827119567865494,0.001077951922478697,0.0328321781561732,0.031931865967155776,-31.494475147953068,0.35544065450721163,True,True
12374250,0.009882490770544487,-780.4544659957081,0.0012780296406481053,0.07631967500719784,0.2762601581973011,0.26858550381366914,-30.20857969021721,-0.349937013037639,True,True
