basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag,neg_basin_flag
01078000,0.004984973625852713,-40.45699002121321,0.023553247639560883,0.0010302046287529142,0.03209680091150696,0.0262193424971364,-5.3725708625545865,0.17605258360000478,True,True
01170100,0.0073746416531355165,-6.340310067424618,0.11989961906881327,0.0003992052551414238,0.019980121499666208,0.012382065697431803,-0.6407914179680567,0.2583521822389659,True,True
01195100,0.009691993439698808,-2.5924043276424134,0.21775086178297515,0.000337451555122597,0.018369854520997084,0.01697271231999769,-24.57933025030687,0.536659555843504,True,True
02014000,0.004141553396481093,-28.954400616913237,0.032305584345690995,0.0005137917942758676,0.022666975852015804,0.019393458593503738,-9.09122029223096,0.09170785428513038,True,True
02374500,0.006482397681806576,-8.595875794926616,0.09437634220654109,0.0004032328999690853,0.02008065984894633,0.015647958708766355,-0.9345249285900343,0.28741936916406097,True,True
04063700,0.006272409328713661,-4.205524223746513,0.16114674021790565,0.00020480155788312227,0.014310889486091431,0.012289669276340138,-1.9615260350063344,0.2645048439951585,True,True
06280300,0.0037125440810362093,-64.89041164403885,0.014949825773558656,0.0009081664600321588,0.030135800305154645,0.029677487497177503,-17.13392535762359,-0.14502517308003132,True,True
06339500,0.009292393223263444,-4.316775322746512,0.1583086225022174,0.0004590959557843972,0.0214265245848317,0.01936059248829559,-23.487760801678306,0.10913110323509086,True,True
07184000,0.00034239513203574974,-6433.277398799757,0.00015539345672752348,0.000754318820415588,0.027464865199297594,0.024133654483631622,-3526.7869965678165,0.0741791367821669,True,True
07292500,0.003339854037426359,-59.733124064468065,0.016198759015592624,0.0006774552234900377,0.026027970022459254,0.023945649084337745,-17.84817265851155,0.09383784119201068,True,True
08380500,0.0016370658380737775,-309.55204080629386,0.003209736637936985,0.0008322746738746991,0.028849171112437514,0.027490407674596273,-3277.861169195158,0.0012597977510435752,True,True
10242000,0.005706232876400874,-34.34107569796115,0.0275170720952573,0.0011507440751296822,0.033922618930879764,0.027996761140364795,-38.48993680759167,0.035446778451096214,True,True
10259200,0.0018813203329935174,-326.71853801754986,0.003042116231201452,0.0011599159150438713,0.03405753829982242,0.03006240177549109,-2222.6125283127117,0.367812092423704,True,True
11151300,0.0005818957095809165,-2027.516217815212,0.000492728262638131,0.000686860899631644,0.026208031204797585,0.023695580541882776,-4238.641544835974,0.18584809761975102,True,True
11274500,0.008167022148338855,-6.644945765327538,0.1156745255720077,0.000509919799681538,0.022581403846562285,0.021375772463396125,-20.13511949304825,0.29091210073455603,True,True
12374250,0.009882490770544487,-37.25094689287558,0.02547709238019706,0.003735726088483166,0.06112058645401863,0.03652878148825438,-4.858327630062699,0.16060259256612908,True,True
