downstream,upstream,gage
17399475,17398699,06803530
13756263,13756097,07301500
1638575,1638313,08176900
166743977,1997506,02315500
18880764,18880224,06878000
15513296,15511634,04256000
1813283,1814947,04027000
6087,3137,01030500
10115408,10118660,06911900
10116938,10118854,06910800
10300593,10301219,03300400
13802764,13801954,05584500
17356977,17340807,06784000
15613810,15614720,04196800
19761978,19761032,03488000
10510478,10511712,02082950
17826718,17826016,08324000
10525953,10524467,02108000
18070114,18068960,02481000
1057297,1055261,02221525
14268912,909020874,05057000
17405835,17408611,06803510
10634089,10633447,08194200
10645809,10643779,08195000
18094325,18093761,02479560
10645757,10644059,08196000
10606012,10603216,05444000
14836139,14834449,05556500
16949660,16955326,02312200
1997546,1996864,02314500
10646927,10644037,08198500
18075848,18069184,02481510
10977039,10978897,02092500
18106868,18109056,02479300
10833752,10834528,08178880
21166239,21165793,07145700
11136380,11135656,10329500
11468876,11462840,06470800
20435308,20435618,09505800
11654354,11653920,06464500
18154273,18152577,02472000
15569747,15569633,04216418
18156767,18155201,02472500
11673184,11673028,06453600
18354205,18353319,09210500
11730052,11727746,02196000
11817455,11817611,07056000
2188061,2187019,02361000
11930608,11930530,04040500
12068316,8020336,11381500
12105172,12103746,03182500
1520079,1518817,08070200
1827300,1828130,03285000
20091016,20089500,07376000
12069362,8020508,11383500
19138465,19137927,07290650
12120376,12117728,04124000
15612418,15613024,04197100
15662066,15661570,04185000
166174245,6730691,01078000
19017107,19017601,06853800
12186625,12188673,04045500
12570206,12568762,06468170
18927902,18927618,07375000
12664628,12662464,06477500
19735939,19737137,03500000
19735939,19737137,03500240
12222394,12220352,04056500
12576066,12568466,06468250
19104903,19105201,07295000
12788120,12788512,06280300
13803636,13803808,05585000
14733222,14729768,05399500
20487062,20488518,09494000
20177979,20181889,06450500
12900470,12900836,06224000
12981415,12980165,05362000
1318986,1319360,394220106431500
14267518,14278406,05056000
19112974,19110504,07292500
16808203,16807979,02298123
20415896,20414912,09513780
13324444,13323398,05414000
13624581,13623907,05408000
13324644,13323520,05413500
15085613,15083649,08013000
1631031,1628161,08171300
20439860,20439360,09510200
13313347,13311553,05412500
1520241,1521031,08070000
1722313,1721783,01031500
20986743,20987779,07151500
13698839,13699011,08079600
20179473,20178833,06447500
13753663,13752875,07301410
19110782,19107888,07291000
14156822,14159096,05123400
16131669,16130947,06440200
17611573,17609705,11124500
1919682,1918816,03237500
16213240,16210464,06350000
19506226,19505312,03604000
16247337,940130595,06339500
15894414,15895602,09484600
20026253,20025603,07226500
19621434,19619586,03574500
1799885,1805267,04024430
16248121,16246529,06339100
16806507,16802215,02296500
19751693,19752385,03473000
23894204,23895776,14316700
23901145,23903457,14309500
2821816,16594815,11274630
23914565,23914663,14325000
23949599,23949687,14400000
24264873,24264939,12186000
24432171,24433779,13023000
5290223,5288343,08189500
21014035,21014561,07149000
21028040,21026688,07148400
23970361,23970481,12141300
2507373,2509061,05514500
4994035,4996323,05489000
21327961,21324355,09447800
21464256,21457376,02427250
23980613,23980673,12095000
24537922,24538592,12117000
505374,504320,03281500
21195266,21194648,07142300
21517040,21517092,07167500
3060252,3061632,06037500
21609427,21610913,11264500
4153184,4153480,01439500
21609627,21610915,11266500
3133679,3131841,07315700
21639650,21639234,02469800
400540,400864,07197000
21677018,21675682,02422500
24274651,24274711,12167000
2678276,2679430,01022500
21860182,21859904,06352000
21861200,21863008,06353000
3539113,3537055,06876700
21954826,21957344,07362100
24013583,24013667,10396000
2965686,2962312,06188000
5524989,5526651,08086212
22000720,22000514,07359610
3322000,3323306,01047000
2210148,2209676,02363000
24158503,24159367,13235000
2602683,2602953,01539000
5054201,5055169,07014500
22130213,22131203,03498500
22253907,22253025,05487980
3192080,3192594,09223000
22226810,22227842,11532500
3646108,3645408,06889500
22274614,22272362,02408540
22440648,22438018,09497800
4547808,4545824,03186500
2828006,16595111,11274500
22440714,22437930,09497980
4725927,4725451,01580000
22957045,22958305,12358500
3855285,3856741,06043500
23004327,23004421,12414500
3729091,3728577,06892000
23073997,23074565,12451000
4198118,4198388,01532000
23123725,23123825,13011500
23970269,23971649,12144000
4710634,4710440,01568000
2705485,2703971,11478500
5481755,5482019,06431500
23123207,23124545,13011900
3808413,3809125,03076600
2323410,2323776,02372250
23436991,23437859,13331500
23286987,23287681,13161500
23551256,23553280,13310700
24422911,24424353,12488500
3643704,3649466,06888500
23588128,23588192,13337000
24264761,24265665,12189500
2613590,2612944,01423000
5124322,5123250,06903400
23597189,23597377,13338500
23630308,23624466,13340600
4084458,4084160,05291000
23551582,23553520,13313000
435122,437466,03213700
23735817,23737711,14137000
7651759,7648353,07057500
2376959,2376737,02371500
4867203,4869129,05508805
2927219,2926433,05501000
23838192,23839768,12041200
4352686,4354536,03050000
23785791,23787205,14185000
23780481,23780543,14182500
4369874,2964352,06191500
23844953,23845059,12040500
2580519,2578595,08101000
3645672,3645088,06889200
5670913,5670051,08104900
23871877,23872489,14301000
6269358,6269280,02177000
23886296,23887138,14306500
4506920,4508970,01644000
23880872,23880968,14305500
23850369,23850947,12025000
2806777,2810121,11176400
3586214,3585830,08165300
5570383,5568931,08109700
24282120,24282726,12082500
4995867,4996203,05488200
2430758,2430464,09430500
24373012,24374416,12411000
4546478,4546640,03187500
504706,505576,03281100
8648006,8649126,02064000
8625791,8623873,02059500
9752546,9750432,02140991
9841444,9841532,04213075
6084639,6083841,01144000
5801078,5798048,05495000
6460665,6457987,02350900
6892186,6892224,03161000
6884216,6885538,03170000
7026409,7030339,05062500
7016407,7015879,05458000
8759151,8760547,02081500
8971062,8971808,03010655
7359833,7359621,06917000
6960301,6959825,05466500
7171118,7172298,05131500
7371499,7373505,06919500
9841714,9841954,04213000
6908085,6908381,03173000
7387709,7388357,06921200
7139936,7139328,05129115
7374533,7375879,06918460
724684,724832,01013500
6887560,6890304,03164000
7571985,7572633,07071500
7817414,7816516,07261000
7524427,7518819,07067000
9251300,9251408,02111180
7388007,7390081,06921070
7518821,7519491,07066000
7842829,7841187,08164000
8127533,8125455,01543000
8127607,8126341,01543500
7523291,7523417,07068000
9211186,9209954,02128000
933140016,2409190,02374500
5802222,5801660,05495500
8209965,8209343,11148900
7875850,7875008,08190500
8203187,8206717,11151300
8975276,8975618,03015500
9370976,9370504,06479438
8151187,8150051,01552000
8134648,8134208,01544500
8233476,8234692,11528700
8258809,8258085,11522500
8295203,8295559,11473900
9420705,9420101,01510000
942110019,7871237,08190000
8364342,8364258,06847900
8320013,8320201,11480390
8315605,8316229,11482500
8449084,8447704,01639500
8746119,8745957,02053200
8849829,8850757,02102908
8994318,8990200,04122200
8457990,8456642,01669520
8467197,8468239,01667500
8465329,8464801,01664000
8420976,8422626,01606500
8718809,8719679,02046000
8741019,8744129,02051500
9027877,9027809,04074950
8522117,8521387,02016000
8525401,8526985,02017500
8524283,8524809,02013000
8524487,8524903,02014000
8522503,8525283,02018000
8673537,8671781,02074500
8626867,8628755,02056900
8648280,8647394,02065500
8991864,8990118,04122500
9234691,9233937,02118500
