gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
05466500,0.4856905896022755,257.59,1,0.06,1e-05,0,0.12,1.4304094,4.2912283,0.99651414,0.8582456,-89.997055,41.239403,2.2330591351059308e-05,0.0226377329199595,0.0062348191385697,0.4678342524683257,164.45,5,0.05,0.00049,0,0.1,26.911291,80.73387,0.27303317,16.146774,-90.975975,41.147717,5.850325801727055e-05,0.053865840458434,0.0141657315243108
02479560,0.0262244035549457,66.33,3,0.055,0.00057,0,0.11,6.9644976,30.0,0.49568498,4.1786985,-88.362335,31.471893,3.4166562227978994e-05,0.0278707599271925,0.006574204468678,0.0127537019336311,15.24,5,0.05,0.00011,0,0.1,29.066868,87.20061,0.26390767,17.44012,-88.46784,30.793104,0.0004727188846703,0.1509369792479954,0.0195538903182835
13340600,0.4068568317802558,1172.04,3,0.055,0.00654,0,0.11,14.302084,42.906254,0.36085597,8.58125,-115.11756,46.900154,0.0002014427183715,0.0854308830260032,0.0180901362317457,0.3868631502593049,510.58,5,0.05,1e-05,0,0.1,39.190685,117.57206,0.23130985,23.514412,-115.62059,46.842083,3.0778633860715757e-06,0.0136174553820308,0.0007510312909804
07148400,0.4224615177596073,651.4,1,0.06,0.01279,0,0.12,2.6572957,7.9718866,0.7582563,1.5943774,-99.18464,37.360123,0.0001307187207006,0.0663911107860922,0.0195057595857794,0.4006651881956495,393.47,5,0.05,0.00136,0,0.1,35.440876,106.322624,0.24180429,21.264524,-98.56821,36.81792,0.0052303682118306,0.5023564163189148,0.122879454193038
01030500,0.0490362560436968,147.91,1,0.06,0.00548,0,0.12,6.000192,18.000576,0.52937174,3.6001153,-68.15674,45.950356,0.0005586068017304,0.1633521142103504,0.0464978026612637,0.026910378398576,63.83,5,0.05,1e-05,0,0.1,39.768955,119.30687,0.22981991,23.861374,-68.30786,45.49649,4.890009359900579e-05,0.033023892089419,0.0077940556429252
07292500,0.0865048170425547,147.58,1,0.06,0.00952,0,0.12,3.4260206,10.278062,0.67784774,2.0556123,-90.6271,31.759035,0.0002583131937396,0.0845935870273774,0.0235196891050377,0.074058619501266,32.74,5,0.05,0.00446,0,0.1,32.765198,98.29559,0.2503251,19.659119,-91.12866,31.32365,8.135862910084155e-05,0.0642682967715835,0.0067977148670111
06847900,0.6116245199976438,886.7,1,0.06,0.00878,0,0.12,3.459318,10.3779545,0.67496145,2.0755908,-100.689445,39.517822,0.0002924012572957,0.1012738225152738,0.0272480984709463,0.6022350608781994,710.36,4,0.055,0.00079,0,0.11,29.640604,88.921814,0.2616417,17.784363,-100.084305,39.76754,7.663229266367514e-05,0.0547321822822926,0.0180451204388757
12414500,0.7262822786643137,1173.1,4,0.055,0.00637,0,0.11,16.229664,50.0,0.3412784,9.737799,-115.36944,47.0317,0.0003875841395457,0.1095223223548093,0.0313613587227703,0.7078927454892638,666.33,5,0.05,1e-05,0,0.1,35.74383,107.2315,0.24089795,21.4463,-116.209236,47.277252,7.76781385497363e-05,0.059189738459177,0.0102000089663361
06464500,0.7759476476829258,829.61,2,0.06,0.00182,0,0.12,11.626023,34.878067,0.39539006,6.9756136,-100.651505,43.169395,0.0002271391035602,0.1149323249139471,0.0169452419002078,0.7500427606519802,621.88,5,0.05,0.00074,0,0.1,36.862247,110.58675,0.23764564,22.11735,-99.76168,43.014397,1.1130246642476376e-05,0.0179515130758389,0.0044004664267683
02472500,0.0353861108539115,133.12,1,0.06,0.00995,0,0.12,2.8932638,8.679791,0.7303236,1.7359583,-89.71505,31.894611,0.0001573529749283,0.0689852366611146,0.019563217522207,0.02840093566076,49.34,5,0.05,0.00029,0,0.1,29.500608,88.50182,0.26218876,17.700365,-89.395065,31.420298,0.0004795393346755,0.1748654340139711,0.0323148393144492
06889500,0.517691901637814,395.77,2,0.06,0.00431,0,0.12,4.321789,12.965366,0.6118277,2.5930734,-95.96643,39.62673,0.0001461616783978,0.0706325278798178,0.011138154804768,0.5074929945905425,266.45,5,0.05,1e-05,0,0.1,23.419367,70.2581,0.29029834,14.05162,-95.70664,39.104973,0.0001742302527013,0.0743832052729142,0.018723569134522
07014500,0.4262483341409251,252.89,2,0.06,0.01692,0,0.12,3.6413462,10.924039,0.65986234,2.1848078,-91.578964,37.99314,2.030758297114046e-06,0.007043367356135,0.0013275806900662,0.4172687279209477,177.57,7,0.045,0.00027,0,0.09,40.42911,121.28734,0.2281567,24.257467,-91.10683,38.175983,0.0002462219597224,0.1072152364663572,0.0298772046450043
07290650,0.1010516689741291,94.14,2,0.06,0.00244,0,0.12,5.9587784,17.876335,0.53099173,3.5752668,-90.361305,32.039074,0.0002943204400527,0.0963621329544143,0.023389895305574,0.0963429415567808,26.7,6,0.05,1e-05,0,0.1,30.559381,91.67815,0.25814164,18.335629,-90.88509,32.011898,5.497849794010492e-06,0.0103917813454808,0.0015030706356119
